County of Residence,Deaths,Number of Cases
Harris,34,3047
Dallas,22,1432
Travis,7,642
Tarrant,20,637
Bexar,22,615
Fort Bend,10,485
Denton,9,426
Collin,6,406
Galveston,7,308
Lubbock,9,234
Montgomery,4,231
El Paso,1,225
Brazoria,2,199
Webb,6,166
Cameron,3,147
Hidalgo,1,146
Brazos,9,114
Williamson,4,103
Jefferson,5,94
Smith,1,88
Bell,3,84
Hays,0,79
Victoria,0,73
Nueces,0,72
McLennan,2,66
Potter,1,59
Ellis,2,58
Randall,2,56
Wichita,0,53
Taylor,1,51
Guadalupe,0,47
Hardin,1,41
Ector,1,39
Matagorda,3,38
Gregg,0,37
Comal,4,34
Washington,1,34
Tom Green,1,32
Midland,1,31
Shelby,0,31
Orange,0,30
Bowie,1,29
Nacogdoches,2,29
Johnson,1,27
Chambers,0,24
Kaufman,0,24
Donley,0,21
Moore,0,21
Wharton,0,20
Bastrop,1,19
Coryell,0,18
Grayson,0,17
Angelina,0,16
Liberty,0,16
Rockwall,0,16
Hunt,0,15
Calhoun,0,14
Rusk,0,14
Walker,0,13
Waller,0,13
Gray,0,12
Harrison,1,12
Hockley,1,12
Hood,1,12
Andrews,0,11
Navarro,2,11
Parker,0,11
Castro,1,10
Erath,1,10
Kendall,0,10
Medina,1,10
Panola,1,10
Van Zandt,1,10
Wilson,0,10
Fayette,0,9
Hale,1,9
Limestone,1,9
San Augustine,1,9
Austin,0,8
Brown,0,8
De Witt,0,8
Henderson,0,8
Hill,0,8
Lamar,0,8
Maverick,0,8
Polk,0,8
Atascosa,0,7
Deaf Smith,0,7
Milam,0,7
San Patricio,0,7
Starr,0,7
Uvalde,0,7
Burleson,0,6
Burnet,0,6
Caldwell,0,6
Cherokee,0,6
Colorado,0,6
Grimes,0,6
Terry,0,6
Titus,0,6
Upshur,0,6
Val Verde,0,6
Dawson,1,5
Fannin,0,5
Lynn,0,5
Willacy,1,5
Wood,0,5
Blanco,0,4
Cass,0,4
Goliad,0,4
Hopkins,0,4
Jackson,0,4
Lavaca,0,4
Palo Pinto,0,4
Wise,0,4
Camp,0,3
Comanche,0,3
Eastland,0,3
Jasper,0,3
Lampasas,0,3
Leon,0,3
Live Oak,0,3
Llano,0,3
Morris,0,3
Oldham,1,3
San Jacinto,0,3
Swisher,0,3
Trinity,0,3
Young,0,3
Zapata,0,3
Anderson,0,2
Aransas,0,2
Crane,0,2
Gonzales,0,2
Hutchinson,0,2
Jim Wells,0,2
Jones,0,2
Karnes,0,2
Kerr,0,2
Kleberg,0,2
Lee,0,2
McCulloch,0,2
Martin,0,2
Robertson,0,2
Bandera,0,1
Bee,0,1
Callahan,0,1
Clay,0,1
Concho,0,1
Cooke,0,1
Crosby,0,1
Dallam,0,1
Delta,0,1
Dickens,0,1
Falls,0,1
Floyd,0,1
Franklin,0,1
Frio,0,1
Gaines,0,1
Gillespie,0,1
Hamilton,0,1
Hansford,0,1
Hemphill,0,1
Howard,0,1
Jack,0,1
Knox,0,1
Lamb,0,1
Mason,0,1
Mitchell,0,1
Montague,0,1
Newton,0,1
Pecos,0,1
Rains,0,1
Stephens,0,1
Tyler,0,1
Winkler,0,1
