County of Residence,Deaths,Number of Cases,Recoveries,Active
Harris,205,9635,3672,5589
Dallas,177,7679,3606,3673
Tarrant,123,4559,1478,2846
Travis,79,2537,892,1490
Bexar,62,2192,1099,959
Potter,23,2145,341,1765
El Paso,52,1852,921,804
Fort Bend,40,1559,368,1151
Denton,28,1088,565,476
Collin,31,1047,713,284
Montgomery,18,817,278,502
Brazoria,11,786,388,375
Galveston,31,706,435,236
Cameron,29,635,400,192
Lubbock,50,624,391,178
Randall,5,611,144,454
Moore,12,575,326,229
Williamson,19,486,268,194
Webb,18,479,285,174
Jefferson,26,451,269,141
Hidalgo,10,448,254,176
Walker,26,442,248,149
Brazos,18,333,147,160
Bell,3,260,150,95
Ellis,12,258,146,109
Nueces,3,242,99,133
Nacogdoches,17,241,146,76
Coryell,2,226,28,194
Taylor,6,222,291,45
Hays,3,219,152,64
Harrison,21,205,114,69
Smith,3,192,136,50
Washington,22,184,40,119
Shelby,5,175,101,69
Gregg,0,173,79,91
Grayson,0,165,73,79
Panola,16,162,112,35
Victoria,7,157,125,24
Kaufman,2,155,78,77
Angelina,1,154,54,84
Bastrop,2,148,43,87
Bowie,5,137,68,62
Johnson,4,136,70,60
Rockwall,5,136,74,68
Deaf Smith,7,133,32,84
Titus,1,129,18,83
Midland,12,122,43,65
Hardin,4,118,93,20
Lamar,9,116,55,52
Ector,4,115,79,34
Jones,0,115,63,49
Guadalupe,0,110,79,33
McLennan,4,98,90,4
Gray,1,94,57,36
Maverick,0,89,21,53
Orange,2,87,65,20
Gonzales,2,86,23,62
Houston,0,81,6,73
Wichita,2,80,60,16
Liberty,3,75,40,32
Comal,6,71,56,8
Hunt,3,68,43,20
Grimes,1,65,10,54
Matagorda,5,63,56,2
Parker,0,63,35,27
Tom Green,1,62,51,9
Anderson,0,60,27,27
Medina,2,59,17,39
Chambers,0,55,47,6
Brown,7,51,27,17
Polk,0,50,19,28
Hale,4,49,34,6
Henderson,0,49,25,23
Wharton,0,44,38,5
Waller,0,43,31,9
Rusk,2,42,33,8
Ochiltree,2,40,14,25
Caldwell,0,39,7,29
Dawson,1,38,21,16
Navarro,2,38,28,8
Wise,2,38,20,15
Wilson,5,37,26,5
Calhoun,3,36,28,5
Cherokee,2,36,14,19
Parmer,0,36,10,24
Red River,0,36,1,34
Frio,0,35,8,27
Atascosa,1,32,16,13
Fayette,2,31,10,17
Mason,0,31,19,12
Hutchinson,0,30,14,14
Burnet,0,28,14,14
Castro,1,28,16,10
Donley,0,27,25,1
Fannin,2,27,17,6
Camp,0,26,7,17
Jasper,1,26,15,7
San Augustine,1,26,14,7
San Patricio,0,26,17,9
Milam,1,25,19,4
Hockley,1,24,18,4
Hill,1,23,11,10
Kendall,0,23,16,5
Pecos,0,23,9,11
Sherman,0,23,15,8
Van Zandt,1,23,14,7
Andrews,0,22,21,1
Hood,3,22,16,3
Wood,0,22,9,9
Cass,0,21,13,7
Austin,0,20,13,6
Burleson,0,20,3,15
Colorado,0,19,9,9
Starr,0,19,9,9
Dallam,0,18,10,12
Upshur,0,18,14,4
DeWitt,1,17,13,3
Limestone,1,17,8,6
Hansford,2,16,5,9
Erath,1,15,11,4
Jackson,1,15,12,1
Marion,0,15,13,2
Swisher,0,15,8,7
Kleberg,1,14,8,7
Wheeler,0,14,7,7
Willacy,1,14,11,2
Cooke,0,13,8,5
Morris,0,13,8,3
Terry,0,13,11,1
Val Verde,0,13,13,0
San Jacinto,0,12,10,2
Hartley,2,11,4,3
Lamb,0,11,4,7
Trinity,0,11,8,3
Bailey,0,10,0,8
Kerr,0,10,5,5
Tyler,0,10,6,3
Leon,0,9,3,6
Montague,1,9,6,6
Palo Pinto,2,9,7,0
Zavala,0,9,1,8
Callahan,1,8,2,7
Hopkins,0,8,6,2
Jim Wells,0,8,4,5
Lampasas,0,8,4,4
Lavaca,1,8,5,2
