County of Residence,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18
Dallas,5,7,7,7,9,10,11,13,15,17,17,18,18,18,19,20,22,25,27,31,32,42,43,50,55,60,60,60,64,65,72,77,81,82,84,94,99,104,106,110,111,114,121,123,125,135,143,143,145,148,153,159,164,170,176
Harris,1,2,2,2,3,4,4,6,6,8,13,17,20,22,23,31,34,40,41,44,46,52,58,63,67,71,75,78,79,80,82,84,89,93,98,103,109,114,122,129,133,140,144,150,154,160,168,172,179,183,188,193,199,204,204
Travis,0,0,0,1,1,1,1,2,3,3,4,6,6,6,7,7,7,9,9,9,11,14,17,18,21,23,25,26,27,28,31,32,36,39,42,42,44,47,51,51,52,53,58,57,59,60,60,60,65,71,72,74,77,77,77
Tarrant,1,1,1,1,1,1,1,1,3,6,7,9,11,13,18,19,20,21,25,25,25,29,30,34,35,38,39,39,42,44,45,48,52,53,53,58,61,68,69,71,75,77,83,88,90,95,101,103,104,109,114,117,120,121,123
Bexar,1,3,5,5,5,5,5,9,9,9,9,11,12,12,18,20,22,24,27,27,33,33,37,37,37,38,39,39,39,39,43,43,43,43,44,44,46,47,48,48,48,48,52,53,54,56,56,56,57,57,58,59,62,62,62
Fort Bend,0,0,0,1,1,1,1,2,2,2,2,5,6,6,7,7,10,11,11,11,12,15,15,16,17,17,17,18,18,18,20,21,21,21,22,24,24,26,26,27,28,28,30,32,33,36,36,38,40,40,40,40,40,40,40
Collin,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,5,6,7,7,8,10,10,10,11,12,13,13,13,14,14,14,16,16,17,17,19,19,20,22,22,22,22,22,22,24,27,27,28,29,29,30,30,31,31,31
Denton,0,0,1,1,2,2,2,4,4,5,6,6,7,7,7,7,9,10,13,13,13,14,14,15,15,16,16,17,18,19,19,19,20,20,20,20,20,21,22,22,22,22,22,22,23,25,25,25,25,25,25,28,28,28,28
McLennan,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Montgomery,0,0,0,0,0,0,0,0,2,3,3,3,3,3,4,4,4,4,5,5,6,6,6,6,7,7,7,7,7,7,8,9,9,9,10,12,12,12,14,14,14,15,15,15,15,16,16,16,17,17,17,18,18,18,18
Galveston,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,7,8,8,8,9,11,13,14,14,15,17,19,20,21,21,21,22,22,24,24,24,26,27,28,28,28,28,28,28,29,29,29,29,29,30,30,31,31,31
Brazoria,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,6,6,6,6,6,6,7,7,7,8,9,9,9,9,9,9,9,9,10,11
Williamson,0,0,0,0,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,7,8,9,10,10,10,10,11,12,12,12,13,13,14,16,16,19,19,19,19
Bell,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Brazos,0,0,0,0,1,2,2,2,3,4,5,5,6,7,7,8,9,9,10,11,12,13,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,18,18,18,18,18,18,18,18,18,18
Smith,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Lubbock,0,0,0,0,0,0,0,2,3,3,4,4,5,6,6,7,9,13,14,16,21,25,25,28,28,28,32,36,38,39,40,40,40,40,43,43,43,43,43,44,44,45,46,47,48,49,49,49,50,50,50,50,50,50,50
El Paso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,6,7,7,8,8,9,9,10,10,10,12,12,12,14,18,21,22,22,22,22,22,23,30,32,32,33,33,33,41,43,45,46,47
Nueces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Webb,0,0,0,0,0,1,1,2,3,5,5,6,6,6,6,6,6,6,6,8,8,8,10,11,11,11,11,11,11,12,12,12,13,15,15,15,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,18,18
Hays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3
Cameron,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,4,5,6,6,7,7,9,12,14,14,14,14,16,17,18,18,18,18,18,18,19,20,22,22,22,23,25,25,26,26,27,27
Ellis,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,9,10,11,11,11,11,11,11,11,11,12,12,12
Matagorda,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5
Comal,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,3,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Wichita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Guadalupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castro,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hockley,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jefferson,0,0,0,0,0,0,0,0,0,2,0,2,2,4,4,5,5,5,5,6,6,6,6,7,9,9,10,10,13,13,16,18,18,18,19,19,21,21,22,22,23,23,23,23,25,25,25,25,26,26,26,26,26,26,26
Johnson,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Midland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,5,5,5,5,5,6,6,6,6,6,8,8,8,9,10,11,11,11,12,12,12,12,12,12,12
Wharton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atascosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Deaf Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,6,6,6
Eastland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grayson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grimes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hardin,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
Hidalgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,4,4,4,4,4,5,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,10,10,10,10,10
Kaufman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kendall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Potter,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,4,4,5,5,6,6,6,6,6,8,8,9,9,9,9,12,15,15,15,15,15,17,16,21,23,23,23,23
Austin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bastrop,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Blanco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowie,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
